Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,178.52663446983425,178.59209392409483,177.33901294253502,177.46993185105623,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,178.23674260096593,179.06901280513625,177.68501291505527,177.85333722601106,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,176.30101302497434,178.06841829001013,176.1233373634099,178.01231018635823,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,175.9924184548887,176.23555357071376,175.1227428482838,175.92695900062813,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,175.52485092445596,176.59090489384263,175.28171580863093,175.88020224758486,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,175.00117529037126,175.71412226077513,173.96785104811488,175.1601482507184,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,173.2197429994225,174.60841856480775,172.62593223577286,173.91641861976728,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,172.02744579681897,173.43949973872589,171.59728366882084,172.7474997936854,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,171.1343918136924,171.32609450116982,170.31614863543507,170.73695941282458,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,171.9526349919497,172.06485119925358,170.2506891811745,170.31614863543507,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,170.2039324281312,171.75625662916795,170.19458107752257,171.15777019021402,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,170.8959323731717,171.32609450116982,169.87663515682829,170.00755406534947,5274935.0
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,171.03620263230152,171.09231073595345,169.371755737467,170.42836484273894,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,170.66214860795532,171.97133769316704,170.34420268726103,171.51312151334292,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,168.37106770883483,170.73695941282458,168.1092298917925,170.19458107752257,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,168.55809472100793,170.33485133665238,167.0899326754491,169.07241900448395,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,172.80360789733732,172.9158241046412,170.43668754478065,170.98944587925823,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,171.3073917999525,174.22501318985292,171.3073917999525,172.90647275403254,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,168.6235541752685,168.88539199231084,165.23836525493536,168.71706768135505,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,166.5195002883211,168.95085144657142,165.90231114814986,168.15598664483574,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,165.11679769702283,166.8561489102327,164.28452749285256,165.7526895384114,4901810.0
2017-11-28,174.89,176.77,172.9911,176.57,6048963.0,0.0,1.0,162.72868459286386,164.47795514598062,160.96182828790995,164.2918625339469,6048963.0
2017-11-27,172.87,174.91,172.38,174.16,4539428.0,0.0,1.0,160.84914921132358,162.74729385406724,160.39322231184101,162.0494465589409,4539428.0
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,0.0,1.0,160.14199728559555,161.0631557151623,159.80005211098361,160.3466991588326,1853587.0
2017-11-22,172.89,172.94,172.04,172.06,4132897.0,0.0,1.0,160.86775847252693,160.91428162553535,160.07686487138372,160.0954741325871,4132897.0
2017-11-21,170.53,172.86,170.15,172.86,6228970.0,0.0,1.0,158.67186565052936,160.8398445807219,158.31828968766533,160.8398445807219,6228970.0
2017-11-20,168.14,170.69,167.8,170.45,4697484.0,0.0,1.0,156.44805893672668,158.82073974015628,156.13170149626944,158.59742860571586,4697484.0
2017-11-17,167.0,168.43,166.06,167.74,4530027.0,0.0,1.0,155.38733104813466,156.71789322417555,154.5126957715763,156.07587371265933,4530027.0
